Govedina srednje masna-Meso-155|
Govedina masna-Meso-307|
Govedina jako masna-Meso-410|
Goveđe meso za gulaš-Meso-155|
Hrenovke(govedina+svinjetina)-Meso-320|
Hrenovke(pileće)-Meso-258|
Janjetina srednje masna-Meso-250|
Janjetina masna(prsa)-Meso-404|
Jetrena pašteta-Meso-440|
Kobasica(prosječno)-Meso-324|
Krvavice-Meso-424|
Mesni narezak-Meso-424|
Mješano meso,mljeveno-Meso-253|
Piletina-Meso-123|
Pileća prsa,bez kože-Meso-110|
Pileći batak s kožom-Meso-161|
Pureća prsa-Meso-111|
Salama,parizer-Meso-523|
Salama,pureća/pileća prsa-Meso-197|
Svinjetina-Meso-345|
Svinjska šnicla-Meso-109|
Šunka-Meso-147|
Pršut-Meso-385|
Teleći but-Meso-150|
Teletina-Meso-105
Zimska kobasica-Meso-455|
Haringa-Riba-155|
Lignja-Riba-77|
Losos-Riba-217|
Pastrva-Riba-112|
Sardine u ulju-Riba-240|
Skuša-Riba-195|
Tunj u ulju-Riba-303|
Polumasni mekani sir-Mlijeko i mliječne prerađevine-103|
Mlijeko (0,9% masti)-Mlijeko i mliječne prerađevine-40|
Mlijeko (3,2% masti)-Mlijeko i mliječne prerađevine-66|
Mlijeko punomasno-Mlijeko i mliječne prerađevine-37|
Jogurt (obični)-Mlijeko i mliječne prerađevine-40|
Jogurt, voćni-Mlijeko i mliječne prerađevine-94|
Vrhnje, kiselo-Mlijeko i mliječne prerađevine-192|
Puding od čokolade-Mlijeko i mliječne prerađevine-134|
Sirni namazi(23% masti)-Mlijeko i mliječne prerađevine-115|
Topljeni sir(45% masti)-Mlijeko i mliječne prerađevine-386|
Sir Ementaler-Mlijeko i mliječne prerađevine-383|
Sir Gouda-Mlijeko i mliječne prerađevine-367|
Sir Parmezan-Mlijeko i mliječne prerađevine-367|
Sir Mozzarella-Mlijeko i mliječne prerađevine-227|
Cijelo jaje-Jaja-167|
Žutanjak-Jaja-377|
Bjelanjak-Jaja-54|
Bijeli kruh-Žitarice,kruh,tjestenina,riža-237|
Crni kruh-Žitarice,kruh,tjestenina,riža-250|
Cornflakes-Žitarice,kruh,tjestenina,riža-355|
Croissant-Žitarice,kruh,tjestenina,riža-410|
Kokice-Žitarice,kruh,tjestenina,riža-376|
Kruh za tost-Žitarice,kruh,tjestenina,riža-264|
Kukuruzni kruh-Žitarice,kruh,tjestenina,riža-220|
Müsli-Žitarice,kruh,tjestenina,riža-371|
Pecivo pšenično-Žitarice,kruh,tjestenina,riža-258|
Polubijeli kruh-Žitarice,kruh,tjestenina,riža-252|
Riža neoljuštena-Žitarice,kruh,tjestenina,riža-371|
Špageti bez jaja, kuhani-Žitarice,kruh,tjestenina,riža-152|
Tjestenina sa jajima-Žitarice,kruh,tjestenina,riža-390|
Zobene pahuljice-Žitarice,kruh,tjestenina,riža-402|
Zobeni kruh-Žitarice,kruh,tjestenina,riža-224|
Artičoke-Povrće-23|
Brokula-Povrće-33|
Cikla-Povrće-37|
Cvjetača-Povrće-28|
Grah-Povrće-110|
Krastavci-Povrće-10|
Krastavci,kiseli-Povrće-14|
Luk-Povrće-42|
Mahune-Povrće-27|
Matovilac-Povrće-15|
Masline-Povrće-140|
Mrkva-Povrće-35|
Paprika-Povrće-28|
Poriluk-Povrće-38|
Rajčica-Povrće-19|
Šampinjoni-Povrće-24|
Tikvice-Povrće-18|
Zelena salata-Povrće-14|
Čips-Krumpir-568|
Krumpir,kuhani-Krumpir-85|
Krumpir pire-Krumpir-67|
Njoki-Krumpir-133|
Pomfrit-Krumpir-270|
Ananas-Voće-56|
Banana-Voće-99|
Breskva-Voće-46|
Dinja-Voće-54|
Grožđe-Voće-70|
Jabuka-Voće-52|
Jagode-Voće-36|
Kikiriki-Voće-603|
Kivi-Voće-55|
Kruška-Voće-55|
Lubenica-Voće-24|
Naranča-Voće-54|
Orasi-Voće-670|
Suho voće-Voće-252|
Trešnje-Voće-57|
Biljna mast-Masnoće-753|
Majoneza-Masnoće-761|
Majoneza light-Masnoće-341|
Margarin-Masnoće-720|
Maslac-Masnoće-755|
Tartar umak-Masnoće-480|
Ulje bučino-Masnoće-900|
Ulje maslinovo-Masnoće-900|
Ulje suncokretovo-Masnoće-928











